"HOUR","PERCENTAGE_PER_HOUR"
0,1.90845018152217621068480882464492859421
1,1.82982183828825118003688354440910881624
2,1.80804407102325327217070506948902180305
3,1.1540857239258816393302670454530006691
4,0.9813045616673776387190757743953814820464
5,1.44671257670137787199403599122690394373
6,2.62328296171109630259188056322036898226
7,5.17068359079221862159511677749946099346
8,5.23359714066887924431963237171304569824
9,4.08810289546427018786790764595386212797
10,4.22711628376131675830457498960730145188
11,4.89137896767945519149617611226343866323
12,5.7755400057040893535537591389815780752
13,5.77526812346607439839937488835835601511
14,6.54760399699515750545871563374526211215
15,7.74804564250258899861149741045762402656
16,7.3308695364924418097243032541856950248
17,7.90706956351753626841084559998020697307
18,6.30051741908716626115430866736105390256
19,4.42863539857800151873418155153949239042
20,3.48963571314575090203729517411746345835
21,3.28186330685472217305685084785116513774
22,2.86185962556921945056406048509772671104
23,2.38451598028636268601163166590675581141
,0.8059948945953345551721109725417971361556
